Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Afghanistan,AFG,17.1965606878624,17.1965606878624,17.1965606878624,35.1096447377192,38.6922615476905,38.6922615476905,38.6922615476905,38.6922615476905,38.6922615476905,38.6922615476905,38.6922615476905,38.6922615476905,38.6922615476905,38.6922615476905,38.3787089832034,34.9296307738452,34.9296307738452,34.9296307738452,34.9296307738452,33.8461643196361,34.3694584015197,38.5616585156635,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,38.818463,36.5671446236559,47.5,47.5,47.5,46.6195310771889,47.3575747311828,47.500014516129,47.263,48.7627535833333,47.8453125,49.4945975,49.9253308333333,49.9620177703972,50.2496147435897,50.325,46.4524610013175,46.747007738581,50.9214,55.3775,57.2475,61.1434615416667,67.8660857692308,68.0269040822312,72.083247177304,77.7379491783367,76.8135364354897,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.0325,102.0625,94.6233333333333,92.6975,104.498916666667,148.932916666667,150.633333333333,137.690583333333,143.709416666667,143.484833333333,140.154515875,121.86325,102.780051196172,99.8702544808992,98.1033770912698,90.4278938310708,83.8946041005291,94.9781198203843,103.936666666667,100.895833333333,108.184166666667,105.669166666667,105.48,125.961666666667,124.1425,119.1,107.989166666667,109.850833333333,108.65,103.52,113.041666666667
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Algeria,DZA,4.93706000393706,4.93706000393706,4.93706000393706,4.93706000393706,4.93706000393706,4.93706000393706,4.93706000393706,4.93706000393706,4.93706000393706,4.93706000393706,4.93706000393706,4.91263833685897,4.48051495321132,3.96249541224223,4.180749999,3.94940833233333,4.163824999,4.14675833233333,3.965899999,3.85326666566667,3.837449999,4.31580833233333,4.59219166566667,4.788799999,4.98337499958333,5.0278,4.70231666666667,4.84974166666667,5.91476666666667,7.60855833333333,8.95750833333333,18.472875,21.836075,23.3454066666667,35.0585008333333,47.6627266666667,54.7489333333333,57.70735,58.7389583333333,66.573875,75.2597916666667,77.2150208333333,79.6819,77.394975,72.06065,73.2763083333333,72.6466166666667,69.2924,64.5828,72.6474166666667,74.3859833333333,72.9378833333333,77.5359666666667,79.3684,80.5790166666667,100.691433333333,109.443066666667,110.973016666667,116.593791666667,119.353558333333,126.7768,135.064058333333,141.994975
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.1175,1.0626,0.886,0.8054,0.8041,0.7971,0.7306,0.6827,0.7198,0.7543,0.7184,0.7783,0.7529,0.7527,0.9013,0.9034,0.8852,0.8468,0.8933,0.8755,0.845494138890436,0.949623753156941
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Angola,AGO,2.86684433333333E-08,2.873486E-08,2.86784433333333E-08,2.87520266666667E-08,2.88197766666667E-08,2.87785266666667E-08,2.882386E-08,2.884161E-08,2.872761E-08,2.85611933333333E-08,2.862511E-08,2.819112E-08,2.7052815E-08,2.451462E-08,2.54076008333333E-08,2.55521808333333E-08,2.93836233333333E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,5.50983333333333E-08,2.51416666666667E-07,2.66016666666667E-06,5.9515E-05,0.00275022958333333,0.128029166666667,0.229040083333333,0.3928235175,2.79070616666667,10.0405441666667,22.0578616666667,43.5302066666667,74.6063008333333,83.5413625,87.1591416666667,80.3680720555556,76.70614275,75.0333541666667,79.3281666666667,91.9057203405018,93.93475,95.467955421311,96.5182794791526,98.3024168556335,120.060701665019,163.656434116579,165.915950691498,252.855747731297,364.825804980887,578.258780280111,631.441955506727,460.567511631462
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Antigua and Barbuda,ATG,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.76190833409524,2.000000001,2.000000001,2.000000001,1.97487273321145,1.92127814947601,1.95921923598161,2.05323240851763,2.16979583233333,2.61467083283333,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Argentina,ARG,..,..,..,1.3871666666625E-11,1.40391666666167E-11,1.69566666666417E-11,2.09149999999667E-11,3.33424999999917E-11,3.5E-11,3.5E-11,3.79166666566667E-11,4.52166666566667E-11,4.999999999E-11,4.999999999E-11,4.999999999E-11,3.65749999995E-10,1.39983333333167E-09,4.07633333332833E-09,7.95749999999583E-09,1.31696666666408E-08,1.83715833333225E-08,4.40269166666725E-08,2.59225333333263E-07,1.05299574995841E-06,6.7649116666E-06,6.01809E-05,9.43031666666667E-05,0.000214429833333333,0.000875260416666667,0.0423339608333333,0.487589083333333,0.953554416666667,0.990641666666667,0.998945833333333,0.999008333333333,0.99975,0.9996625,0.9995,0.9995,0.9995,0.9995,0.9995,3.06325666666667,2.90062916666667,2.92330081890332,2.9036575,3.05431333333333,3.09564884920635,3.14416455988456,3.71010683052328,3.8962951544705,4.11013957621326,4.53693436018746,5.45935266465704,8.07527599281334,9.23318552472429,14.7581750873396,16.5627069251411,28.0949916666667,48.1478916666667,70.5391666666667,94.9907416666667,130.61655
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.105,288.650833333333,405.908333333333,414.0415,490.84678575,504.915,535.061833333333,539.525833333333,555.078258333333,573.353333333333,578.762954545455,533.450833333333,457.686940629159,416.040369724542,342.079116208671,305.969400261936,363.283285606061,373.660466738817,372.500882448711,401.763975626916,409.625749270293,415.919789204938,477.918306576099,480.488150777966,482.716393849129,482.987946590235,480.445128767119,489.008858590915,503.769674961652,435.6661796523
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
